Source,Target,Label,Weight
2,6,polar - surprise,2
1,7,pretty - joy,7
2,8,true - surprise,1
2,9,convinced - surprise,1
2,10,st - surprise,1
1,11,christmas - joy,1
2,12,robot - surprise,2
4,13,animations - fear,1
1,14,did - joy,2
2,15,real - surprise,13
2,16,firststtsstssts - surprise,2
3,17,unplug - disgust,1
1,18,lilbabyyy - joy,1
1,19,beutiful - joy,3
3,20,serena - disgust,1
3,21,fake - disgust,1
1,22,beautiful - joy,2
1,23,cool - joy,1
1,24,app - joy,2
2,25,exist - surprise,1
2,26,cgi - surprise,1
2,27,feeling - surprise,1
1,28,love - joy,1
3,29,believe - disgust,1
4,30,scared - fear,2
2,31,omg - surprise,1
1,32,youuyoure - joy,1
4,33,realpace - fear,1
1,34,beautifulll - joy,1
3,35,phone - disgust,2
2,36,android - surprise,1
2,37,really - surprise,1
3,38,canceled - disgust,1
3,39,try - disgust,1
4,40,romyroseee - fear,1
3,41,joke - disgust,1
1,42,perfect - joy,1
3,43,human - disgust,1
2,44,whattt - surprise,2
1,45,plsss - joy,1
1,46,happy - joy,1
4,47,beverlyswife - fear,1
5,48,sorry - sadness,1
2,49,what the  - surprise,1
1,50,girl - joy,1
1,51,icon - joy,1
3,52,emojis - disgust,1
4,53,cybrsick - fear,1
2,54,what how - surprise,1
1,55,cousin - joy,1
2,56,today - surprise,1
5,57,head - sadness,1
2,58,cartoon - surprise,1
2,59,seeing - surprise,1
2,60,omggggg - surprise,1
4,61,scary - fear,3
2,62,emoji - surprise,1
1,63,sparkle - joy,1
1,64,idols - joy,1
1,65,romans - joy,1
2,66,trippy - surprise,1
2,67,girrrrllll - surprise,2
1,68,janet - joy,22
2,69,jenna - surprise,1
3,70,collar - disgust,2
1,71,darcy - joy,1
1,72,sashaclaire - joy,1
4,73,robloxlegend - fear,1
3,74,oevans - disgust,1
1,75,janetttt - joy,1
2,76,years - surprise,1
1,77,wall - joy,2
1,78,creation - joy,2
2,79,animated - surprise,3
2,80,rl - surprise,1
1,81,nails - joy,1
2,82,actualy - surprise,2
1,83,fav - joy,2
