comment,keyword,emotion,sentiment
Polar express u never wat he’s it 😳 u gots to see it👌🏾,polar,surprise,NEU
Ur so pretty!!!!❤❤,pretty,joy,POS
is this true?,true,surprise,NEU
ITS ABOUT TIMEEEE YOU ALMOST HAD ME CONVINCED,convinced,joy,NEU
omg i was almost 1st,1st,surprise,POS
Polar Express is one of the best christmas moviesyou should go watch it,christmas,joy,POS
Robot? Are u kidding me? 🥺,robot,surprise,NEG
these type of animations emrae too realistic it scares me 😅,animations,fear,NEG
You're confused? I'm freaking confused bro,confused,surprise,NEG
im so confused shes not just a cartoon on a screen then?,shes,surprise,NEG
WE DID IT,did,joy,POS
you posted this on my birthday!,birthday,joy,NEU
Omg firststtsstssts!!!,firststtsstssts,surprise,POS
im so confused shes not just a cartoon on a screen then?,shes,surprise,NEG
WE DID IT,did,joy,POS
can we unplug her already,unplug,disgust,NEG
you posted this on my birthday!,birthday,joy,NEU
Did China make u 😁,china,disgust,NEU
Omg firststtsstssts!!!,firststtsstssts,surprise,POS
why is she so beutiful and realistic,beutiful,joy,POS
are u atchully real,real,surprise,NEU
@jjustingomez96 SERENA SHES NOT REALL,serena,disgust,NEG
Bruh I don't understand is she real or fake like whaaaat!!??Or u are a human but u edited yourself and look like a robot or something like that???,fake,disgust,NEG
her body look so Real... guys there is something wrong,real,surprise,NEG
Omg she beautiful,beautiful,joy,POS
Wait she does look like that girl from polar express,polar,surprise,NEU
Thats soo cool!!!!,cool,joy,POS
hahaha nice app to edit human,app,joy,POS
is this real??? do you really exist,exist,surprise,NEU
Wait is she like real or cgi,cgi,surprise,NEU
Please don't kill meee😅😏😬😂,kill,fear,NEG
How you are feeling ohhhh my god,feeling,surprise,NEU
She is not real she playing avakin life,real,disgust,NEG
I love her.,love,joy,POS
Does anyone remember this from 2020 when it was posted and now its 2022 it feels like the years are going by fast 😂,2020,surprise,POS
I don't believe u,believe,disgust,NEG
you are so pretty,pretty,joy,POS
am a bit scared,scared,fear,NEG
OMG,omg,surprise,POS
I love youu🥰🥰❤️❤️you're so cute,cute,joy,POS
are u guys truing to realpace ous ...Bcs I dont whana be a robot i whana be Who I am ..I am scared...🥺,robot,fear,NEG
cute ☺️,cute,joy,POS
I saw her today 😮 Wait it? Yeah I saw it today 😭😭🙌,today,surprise,NEU
