comment,keyword,emotion,sentiment
are you the girl from polar express,polar,others,NEU
No because who is animating this 😭,animating,others,NEG
This is when we need Shane,shane,others,NEU
i’m so scared,scared,fear,NEG
Help I did not just see somebody put “humanfishing”🤣😭,humanfishing,surprise,NEG
i still don’t understand,understand,others,NEG
It’s giving gta,gta,others,NEU
❣️🙄tell me i am gay?❣️❣️🥰,gay,others,NEU
detroit is becoming human,detroit,others,NEU
Uncannyvalley,uncannyvalley,others,NEU
what in the gta 5 is this,gta,others,NEU
Meta verse girl 💅🏼,verse,others,NEU
so pretty,pretty,joy,POS
She’s the girl from polar express,polar,others,NEU
You used to freak me out but now I love you sorry for being prejudiced before plz date me 🥺,prejudiced,others,POS
This is the second year I’ve been confused is this real or not😬😂😂😡😡,real,surprise,NEG
@intzwetrust @datkidbkay2x @.iluvvkashai @jojobibbz is that a human 😳😳😳😳?,human,others,NEU
she’s so hot,hot,others,POS
16 prank calls,prank,others,NEG
youre real ?,real,others,NEU
you soo cuteee,cuteee,joy,POS
@myahtervett I’m so confused,myahtervett,others,NEG
@🤷 TH IS THIS,th,others,NEU
@♡♡ they're taking over,taking,others,NEU
I'm not understanding😳😭😭,understanding,others,NEG
Bro what is she @user136174782920392,user136174782920392,others,NEU
I'm in love with me mquela,mquela,joy,POS
She looks more real than mark zuckerberg,zuckerberg,others,POS
Bruh you got,bruh,others,NEU
New here is this and actual person ?,person,others,NEU
@fionaisobel_ i’m scared,fionaisobel_,fear,NEG
uncanny valley is typing….,uncanny,others,NEU
Still updating…,updating,others,NEU
human fishing,fishing,others,NEU
ok ok we see you Miquela 🤩,miquela,others,NEU
help???,help,others,NEU
the fringe is too short,fringe,others,NEG
IM GAGGED FOR U LIL MIQUELA,gagged,others,POS
my brain hurts,hurts,others,NEG
16 missed feelings,feelings,others,NEU
no 8 refuse to believe this is reality,reality,others,NEG
ayo Zuck's secret daughter reveal?,zuck,others,NEU
uncanny valley,uncanny,others,NEU
It freaks me out..,freaks,fear,NEG
Do you gonna join the metaverse ?,metaverse,others,NEU
nah i seen you in ‘life is strange’,seen,others,NEG
The difference?,difference,others,NEU
looks like gta or theres a problemen with me..,gta,others,NEG
Wtf,wtf,surprise,NEG
what,what,others,NEU
It’s sims in 4K 😂,sims,others,NEU
Fortnite,fortnite,others,NEU
am searching for a love a best friend,searching,others,NEU
