comment,keyword,emotion,sentiment
Forgot to answer: “do u date humans?” 🙃,date humans,others,NEU
She is not a robot guys.,robot,others,NEU
Polar express u never wat he’s it 😳 u gots to see it👌🏾,polar express,surprise,NEU
I am so confused 😭,confused,others,NEG
do you have feelings? like how do emotions work? 😳,feelings like emotions,others,NEU
can u post a swimming video,post swimming video,others,NEU
Do you need to be charged,need charged,others,NEU
anyone from february 2022,february 2022,others,NEU
who made you,who made you,others,NEU
do you have a crush? who edited your video?,crush edited video,others,NEU
Robot or AI in a computer? Different things,robot ai computer,others,NEU
I really think they made a filter for the face only .. like the body in her Instagram and in general look too real. If not it was a good job.,think filter face,others,NEU
im here in january 2022,im january 2022,others,NEU
@Becabooxoxo bro,becabooxoxo bro,others,NEU
Ur so pretty!!!!❤❤,ur pretty,joy,POS
Its a filter !!!!!,filter,others,NEU
anyone in 2022 tho?,2022 tho,others,NEU
my expression be like: [surprised],expression like surprised,others,POS
is this true?,true,surprise,NEU
dude then how r u speaking,dude speaking,others,NEU
ITS ABOUT TIMEEEE YOU ALMOST HAD ME CONVINCED,timeeee convinced,joy,NEU
y'all she posted this in 2020 it's 2022 😳,posted 2020 2022,others,NEU
@caoimhe.mcgrath1 IS SHE REAL OR WHAT ITS SO CONFUSING,caoimhe mcgrath1 real,others,NEG
omg i was almost 1st,omg 1st,surprise,POS
ohhh am still your friend (even tho you dont know me),friend,others,POS
Have you ever fall in love🥰,fall love,others,NEU
edit,edit,others,NEU
Polar Express is one of the best christmas movies,you should go watch it,best christmas movies,joy,POS
Robot? Are u kidding me? 🥺,robot,surprise,NEG
I look so much like gf 😅😅😅,look like gf,others,NEU
Can You drink? (Sorry I hope You don't mad :')),drink sorry,others,NEU
oh and how old are you?,old,others,NEU
@amywhinehousesdaughter this is the girlie 💀,amywhinehousesdaughter girlie,others,NEU
where you from?,where you from?,others,NEU
@teeko811 This is Lil Miquela,teeko811 lil miquela,others,NEU
Anyone here in 2022 —,2022,others,NEU
these type of animations emrae too realistic it scares me 😅,animations emrae realistic,fear,NEG
@pxecu doesbshe have a vagna,doesbshe vagna,others,NEU
I KNOW WHO SHE IS OML😂,know,others,NEU
You gotta watch polar express 😭😌✨,watch polar express,others,POS
She could be in “Life is Strange”,life strange,others,NEU
Hahahahha polar express,hahahahha polar express,others,POS
You literally are ✨polar express✨,literally,others,NEU
she can swim but... I-,swim,others,NEU
You're confused? I'm freaking confused bro,freaking confused bro,surprise,NEG
Am I the only one here in 2023 😏,2023,others,NEU
im so confused, shes not just a cartoon on a screen then?,shes just cartoon,surprise,NEG
WE DID IT,did,joy,POS
we should make a alt miquela!!,alt miquela,others,POS
but its a filter..,filter,others,NEU
Can you please go live? 😍,live,others,NEU
Are u real?,real,others,NEU
Me neither I don’t have any baby pictures 😩,don baby pictures,others,NEG
you posted this on my birthday!,posted birthday,joy,NEU
Is this a app or did u make it,app did make,others,NEU
lol,lol,others,NEU
Omg firststtsstssts!!!,omg firststtsstssts,surprise,POS
im so confused, shes not just a cartoon on a screen then?,shes just cartoon,surprise,NEG
WE DID IT,did,joy,POS
can we unplug her already,unplug,disgust,NEG
@itsavaiguess,itsavaiguess,others,NEU
we should make a alt miquela!!,alt miquela,others,POS
but its a filter..,filter,others,NEU
Can you please go live? 😍,live,others,NEU
I have same questions-answers in my profile) 😁,questions answers profile,others,NEU
Are u real?,real,others,NEU
Can u drink or touch water??do u malfunction?(no hate)🤔,touch water,others,NEG
Me neither I don’t have any baby pictures 😩,don baby pictures,others,NEG
was--@lala.poop.23 @itseemstobee,poop 23 itseemstobee,others,NEU
Do u have private parts,private parts,others,NEU
you posted this on my birthday!,posted birthday,joy,NEU
Can you breath or do you ?,breath,others,NEU
Is this a app or did u make it,app did make,others,NEU
😳🥴 @_lilbabyyy_,_lilbabyyy_,others,NEU
how can you swim then you are a robot I am so confused about that,swim robot confused,others,NEG
Can I ask u a question,ask question,others,NEU
Did China make u 😁,did china make,disgust,NEU
polar express is a movie on Netflix,polar express movie,others,NEU
lol,lol,others,NEU
Omg firststtsstssts!!!,omg firststtsstssts,surprise,POS
why is she so beutiful and realistic,beutiful realistic,joy,POS
Definitely animated,definitely animated,others,POS
It’s an animation,animation,others,NEU
Is this an app or smt? Because if it is can I pls tell me it,app smt,others,NEU
@☆ audrey ☆ I’m confused,audrey confused,others,NEG
Show your charging station,charging station,others,NEU
🤩🤩🤩🤩👍,🤩🤩🤩🤩👍,others,NEU
are u atchully real,atchully real,surprise,NEU
She can swimming? What is I throve pc with her into the water?,swimming throve pc,others,NEU
Everyday I imagen a future where I can be With you,everyday imagen future,others,POS
@jjustingomez96 SERENA SHES NOT REALL,jjustingomez96 serena shes,disgust,NEG
Filter😂,filter,others,NEU
you said no baby pictures… but they gave you a locket w pictures and there’s ones of you as a baby… so technically yes..,gave locket pictures,others,NEU
how can you be a robot,robot,others,NEU
can u make a video when u talking in italiano? plssssss,video talking italiano,others,NEU
Miquela is a creation of Brud – a transmedia studio that makes fictional characters who live in the real world. So yes she is actually a robot,yes actually robot,others,NEU
@user12467899081 @octodaddyismyfav,user12467899081 octodaddyismyfav,others,POS
Bruh I don't understand is she real or fake like whaaaat!!??Or u are a human but u edited yourself and look like a robot or something like that???,human edited look,disgust,NEG
it is a filter on cap cut!!!,filter cap,others,NEU
her body look so Real... guys there is something wrong,body look real,surprise,NEG
can you have kids???,kids,others,NEU
Since you’re a robot, will you live forever?,robot live forever,others,NEU
you are not real😳,real,others,NEG
she is a real person with a filter 😂,real person filter,others,NEU
cool but are you real?,real,others,NEU
Do you sleep?,sleep,others,NEU
Are you living Alone,living,others,NEU
Omg she beautiful,omg beautiful,joy,POS
Wait she does look like that girl from polar express,girl polar express,surprise,NEU
are you the one makimg all of your videos and writing the comments?,makimg videos writing,others,NEU
im seeing this 1/3/2022😳,im seeing,others,NEU
Thats soo cool!!!!,thats soo cool,joy,POS
hahaha nice app to edit human,app edit human,joy,POS
Just a question, do you ever glitch or something?,just question glitch,others,NEU
You’re made by who,You’re made by who,others,NEU
Have you passed the Turing test?,passed turing test,others,NEU
is this real??? do you really exist,really exist,surprise,NEU
@mar_mur_ was this the girl on the lulu thing,mar_mur_ girl lulu,others,NEU
Do you have like brute strength ???,like brute strength,others,NEU
Is it not just animated,just animated,others,NEU
animation,animation,others,NEU
Its prbly a snapchat filter,snapchat filter,others,NEU
Don’t be shy go LIVE 😈,shy live,others,NEU
animation,animation,others,NEU
Wait is she like real or cgi,real cgi,surprise,NEU
Do u drink coffee or water?,drink coffee water,others,NEU
currently no robots can pass the turring test so she's not a robot,robots pass turring,others,NEU
Please don't kill meee😅😏😬😂,kill,fear,NEG
so you are water resistant ??,water resistant,others,NEU
How you are feeling ohhhh my god,feeling ohhhh god,surprise,NEU
have you Feelings,feelings,others,NEU
can you speak with us,speak,others,NEU
I’m joking,joking,others,NEU
like seriously,like seriously,others,NEU
YOU make the videos...??,make videos,others,NEU
She is not real she playing avakin life,real playing avakin,disgust,NEG
Polar Express is al movie about Christmas . They wanna get the kids to the North-Pool,polar express,others,POS
animation,animation,others,NEU
I love her.,love,joy,POS
I would love to meet you in person,meet person,others,POS
good model maybe,good model maybe,others,POS
do u speak,speak,others,NEU
I’m confused,confused,others,NEG
hi I saw you on YouTube,hi saw youtube,others,NEU
Does anyone remember this from 2020 when it was posted and now its 2022 it feels like the years are going by fast 😂,remember 2020 posted,surprise,POS
How do u swim with the battery in?,swim battery,others,NEU
I remember this TikTok from 2020…,remember tiktok 2020,others,NEU
I can show u how to pass Captcha test it's very easy actually,pass captcha test,others,POS
thats litteraly an animation not real,animation real,others,NEG
@..xminq HUUUHHHHH,xminq huuuhhhhh,others,NEU
who created you?,created,others,NEU
I don't believe u,believe,disgust,NEG
app,app,others,NEU
